id,code,round,object,response,creativity score,created time
pro4545454,cog555,1,ball,sss,1.9,2023-07-22 10:49:11
pro4545454,cog555,1,ball,fgfg,1.6,2023-07-22 10:49:14
pro4545454,cog555,1,ball,tyty,1.6,2023-07-22 10:49:17
pro4545454,cog555,1,knife,dfgdfg,1.3,2023-07-22 10:49:22
pro4545454,cog555,1,knife,eee,1.3,2023-07-22 10:49:26
pro4545454,cog555,1,knife,jjj,1.3,2023-07-22 10:49:30
pro4545454,cog555,1,pencil,eee,1.6,2023-07-22 10:49:34
pro4545454,cog555,1,pencil,eee,1.6,2023-07-22 10:49:37
pro4545454,cog555,1,pencil,eee,1.6,2023-07-22 10:49:40
pro4545454,cog555,2,tire,dfggf,1.3,2023-07-22 10:49:45
pro4545454,cog555,2,tire,www,1.3,2023-07-22 10:49:49
pro4545454,cog555,2,tire,eee,1.3,2023-07-22 10:49:52
pro4545454,cog555,2,pants,ggh,1.3,2023-07-22 10:49:56
pro4545454,cog555,2,pants,eertg,2.0,2023-07-22 10:49:59
pro4545454,cog555,2,pants,ffdddfdf fdrf frf,1.3,2023-07-22 10:50:06
pro4545454,cog555,2,bottle,dfgfg,1.8,2023-07-22 10:50:10
pro4545454,cog555,2,bottle,ghgh,1.9,2023-07-22 10:50:13
pro4545454,cog555,2,bottle,eret,2.7,2023-07-22 10:50:17
pro4545454,cog555,2,shoe,dfgfg,1.2,2023-07-22 10:50:21
pro4545454,cog555,2,shoe,ertger,1.2,2023-07-22 10:50:25
pro4545454,cog555,2,shoe,ert,1.2,2023-07-22 10:50:28
pro4545454,cog555,2,table,sdfsdf,2.0,2023-07-22 10:50:42
pro4545454,cog555,2,table,werwer,2.0,2023-07-22 10:50:45
pro4545454,cog555,2,table,sdfsf,1.8,2023-07-22 10:50:48
pro4545454,cog555,3,fork,sdfsdf,1.6,2023-07-22 10:50:53
pro4545454,cog555,3,fork,fgfg,1.5,2023-07-22 10:50:58
pro4545454,cog555,3,fork,ertert,2.7,2023-07-22 10:51:02
pro4545454,cog555,3,lightbulb,fgdfg,2.7,2023-07-22 10:51:07
pro4545454,cog555,3,lightbulb,werwe,2.1,2023-07-22 10:51:10
pro4545454,cog555,3,lightbulb,werwer,2.7,2023-07-22 10:51:12
pro4545454,cog555,3,toothbrush,sdfsdf,2.4,2023-07-22 10:51:16
pro4545454,cog555,3,toothbrush,werwer,2.4,2023-07-22 10:51:19
pro4545454,cog555,3,toothbrush,erwer,2.4,2023-07-22 10:51:22
